Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
1464.0,7.933,0.0,0.0000,-4.55,-17.10,7.53,69,2026-01-18T18:34:43
33932.0,7.933,0.0,0.0000,5.81,-22.44,13.65,69,2026-01-18T18:34:43
198344.0,7.875,0.0,0.0000,4.31,-9.34,3.61,69,2026-01-18T18:34:44
153152.0,7.875,0.0,0.0000,3.84,3.37,25.18,69,2026-01-18T18:34:44
1460.0,7.875,0.0,0.0000,2.67,12.71,16.32,69,2026-01-18T18:34:44
35152.0,7.875,0.0,0.0000,-7.61,-2.35,4.16,69,2026-01-18T18:34:44
72680.0,7.904,0.0,0.0000,-6.98,0.55,7.22,69,2026-01-18T18:34:44
55360.0,7.875,0.0,0.0000,-1.33,0.08,10.75,69,2026-01-18T18:34:44
683080.0,7.875,0.0,0.0000,-0.47,-1.41,9.34,69,2026-01-18T18:34:45
391084.0,7.818,0.0,0.0000,-0.24,-3.37,11.22,69,2026-01-18T18:34:45
33428.0,7.790,0.0,0.0000,-3.61,-4.24,8.00,69,2026-01-18T18:34:45
33336.0,7.761,0.0,0.0000,-1.88,-7.37,8.24,69,2026-01-18T18:34:45
110724.0,7.790,0.0,0.0000,1.49,-0.78,11.38,69,2026-01-18T18:34:45
283880.0,7.761,0.0,0.0000,0.24,-4.47,8.47,69,2026-01-18T18:34:45
33188.0,7.761,0.0,0.0000,1.26,-3.61,13.10,69,2026-01-18T18:34:45
115108.0,7.761,0.0,0.0000,-0.39,-3.84,11.92,69,2026-01-18T18:34:46
1001392.0,7.761,0.0,0.0000,-0.94,1.41,9.34,69,2026-01-18T18:34:47
348800.0,7.933,0.0,0.0000,-4.55,4.63,6.59,69,2026-01-18T18:34:47
33448.0,7.847,0.0,0.0000,-2.51,5.81,10.36,69,2026-01-18T18:34:47
45028.0,7.847,0.0,0.0000,-1.10,8.87,9.41,69,2026-01-18T18:34:47
574476.0,7.847,0.0,0.0000,0.24,-0.47,8.87,69,2026-01-18T18:34:48
1001296.0,7.818,0.0,0.0000,1.80,-0.63,9.34,69,2026-01-18T18:34:49
1000648.0,7.875,0.0,0.0000,0.08,-0.31,9.10,69,2026-01-18T18:34:50
1001304.0,7.847,0.0,0.0000,0.00,-1.02,9.41,69,2026-01-18T18:34:51
1000644.0,7.875,0.0,0.0000,0.08,0.31,9.10,69,2026-01-18T18:34:52
