Log Start Time,2026-01-17T20:30:06
Delta uS,V Ch1,V Ch2, I, Temp, RTC Stamp
550.0,8.505,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.279,0.0,0.0000,76,2026-01-17T20:30:32
26848.0,0.831,0.0,0.0000,76,2026-01-17T20:30:32
564.0,1.661,0.0,0.0000,76,2026-01-17T20:30:32
552.0,2.721,0.0,0.0000,76,2026-01-17T20:30:32
552.0,3.809,0.0,0.0000,76,2026-01-17T20:30:32
550.0,5.040,0.0,0.0000,76,2026-01-17T20:30:32
550.0,6.243,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.787,0.0,0.0000,76,2026-01-17T20:30:32
548.0,7.875,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.792,0.0,0.0000,76,2026-01-17T20:30:32
548.0,9.479,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.880,0.0,0.0000,76,2026-01-17T20:30:32
26460.0,3.265,0.0,0.0000,76,2026-01-17T20:30:32
568.0,4.468,0.0,0.0000,76,2026-01-17T20:30:32
558.0,5.699,0.0,0.0000,76,2026-01-17T20:30:32
550.0,6.930,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.019,0.0,0.0000,76,2026-01-17T20:30:32
550.0,8.505,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.279,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.823,0.0,0.0000,76,2026-01-17T20:30:32
26000.0,4.181,0.0,0.0000,76,2026-01-17T20:30:32
566.0,5.441,0.0,0.0000,76,2026-01-17T20:30:32
554.0,6.730,0.0,0.0000,76,2026-01-17T20:30:32
552.0,7.875,0.0,0.0000,76,2026-01-17T20:30:32
556.0,8.391,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.221,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.766,0.0,0.0000,76,2026-01-17T20:30:32
25876.0,5.957,0.0,0.0000,76,2026-01-17T20:30:32
580.0,7.217,0.0,0.0000,76,2026-01-17T20:30:32
556.0,7.818,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.821,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.536,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.937,0.0,0.0000,76,2026-01-17T20:30:32
25196.0,6.472,0.0,0.0000,76,2026-01-17T20:30:32
566.0,7.761,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.821,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.508,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.937,0.0,0.0000,76,2026-01-17T20:30:32
25558.0,8.677,0.0,0.0000,76,2026-01-17T20:30:32
570.0,9.479,0.0,0.0000,76,2026-01-17T20:30:32
554.0,9.909,0.0,0.0000,76,2026-01-17T20:30:32
24752.0,8.849,0.0,0.0000,76,2026-01-17T20:30:32
568.0,9.622,0.0,0.0000,76,2026-01-17T20:30:32
24592.0,8.792,0.0,0.0000,76,2026-01-17T20:30:32
568.0,9.565,0.0,0.0000,76,2026-01-17T20:30:32
25404.0,9.995,0.0,0.0000,76,2026-01-17T20:30:32
24480.0,9.680,0.0,0.0000,76,2026-01-17T20:30:32
570.0,8.906,0.0,0.0000,76,2026-01-17T20:30:32
554.0,7.675,0.0,0.0000,76,2026-01-17T20:30:32
550.0,6.186,0.0,0.0000,76,2026-01-17T20:30:32
550.0,4.611,0.0,0.0000,76,2026-01-17T20:30:32
552.0,3.036,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.690,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.117,0.0,0.0000,76,2026-01-17T20:30:32
26020.0,2.148,0.0,0.0000,76,2026-01-17T20:30:32
568.0,3.666,0.0,0.0000,76,2026-01-17T20:30:32
552.0,5.298,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.959,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.334,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.393,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.708,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.995,0.0,0.0000,76,2026-01-17T20:30:32
26060.0,2.176,0.0,0.0000,76,2026-01-17T20:30:32
568.0,0.945,0.0,0.0000,76,2026-01-17T20:30:32
24520.0,2.635,0.0,0.0000,76,2026-01-17T20:30:32
572.0,4.353,0.0,0.0000,76,2026-01-17T20:30:32
552.0,6.100,0.0,0.0000,76,2026-01-17T20:30:32
552.0,7.732,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.021,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.794,0.0,0.0000,76,2026-01-17T20:30:32
25668.0,1.060,0.0,0.0000,76,2026-01-17T20:30:32
24340.0,6.759,0.0,0.0000,76,2026-01-17T20:30:32
568.0,8.391,0.0,0.0000,76,2026-01-17T20:30:32
556.0,9.021,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.823,0.0,0.0000,76,2026-01-17T20:30:32
25892.0,0.945,0.0,0.0000,76,2026-01-17T20:30:32
560.0,2.377,0.0,0.0000,76,2026-01-17T20:30:32
548.0,4.210,0.0,0.0000,76,2026-01-17T20:30:32
552.0,5.183,0.0,0.0000,76,2026-01-17T20:30:32
552.0,7.074,0.0,0.0000,76,2026-01-17T20:30:32
550.0,8.677,0.0,0.0000,76,2026-01-17T20:30:32
554.0,9.680,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.995,0.0,0.0000,76,2026-01-17T20:30:32
548.0,9.565,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.050,0.0,0.0000,76,2026-01-17T20:30:32
550.0,7.646,0.0,0.0000,76,2026-01-17T20:30:32
550.0,5.842,0.0,0.0000,76,2026-01-17T20:30:32
552.0,3.923,0.0,0.0000,76,2026-01-17T20:30:32
548.0,2.062,0.0,0.0000,76,2026-01-17T20:30:32
552.0,0.716,0.0,0.0000,76,2026-01-17T20:30:32
31068.0,2.577,0.0,0.0000,76,2026-01-17T20:30:32
576.0,4.553,0.0,0.0000,76,2026-01-17T20:30:32
556.0,6.558,0.0,0.0000,76,2026-01-17T20:30:32
552.0,8.305,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.508,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.995,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.622,0.0,0.0000,76,2026-01-17T20:30:32
548.0,8.534,0.0,0.0000,76,2026-01-17T20:30:32
552.0,7.732,0.0,0.0000,76,2026-01-17T20:30:32
550.0,5.871,0.0,0.0000,76,2026-01-17T20:30:32
554.0,3.809,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.947,0.0,0.0000,76,2026-01-17T20:30:32
550.0,0.630,0.0,0.0000,76,2026-01-17T20:30:32
26882.0,1.174,0.0,0.0000,76,2026-01-17T20:30:32
570.0,0.115,0.0,0.0000,76,2026-01-17T20:30:32
42280.0,3.494,0.0,0.0000,76,2026-01-17T20:30:32
572.0,1.575,0.0,0.0000,76,2026-01-17T20:30:32
24300.0,4.697,0.0,0.0000,76,2026-01-17T20:30:32
568.0,2.492,0.0,0.0000,76,2026-01-17T20:30:32
554.0,0.859,0.0,0.0000,76,2026-01-17T20:30:32
26518.0,1.833,0.0,0.0000,76,2026-01-17T20:30:32
560.0,3.923,0.0,0.0000,76,2026-01-17T20:30:32
554.0,6.300,0.0,0.0000,76,2026-01-17T20:30:32
550.0,8.276,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.680,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.966,0.0,0.0000,76,2026-01-17T20:30:32
552.0,9.164,0.0,0.0000,76,2026-01-17T20:30:32
550.0,8.420,0.0,0.0000,76,2026-01-17T20:30:32
550.0,6.386,0.0,0.0000,76,2026-01-17T20:30:32
550.0,4.038,0.0,0.0000,76,2026-01-17T20:30:32
550.0,1.861,0.0,0.0000,76,2026-01-17T20:30:32
26570.0,5.040,0.0,0.0000,76,2026-01-17T20:30:32
566.0,7.389,0.0,0.0000,76,2026-01-17T20:30:32
554.0,8.362,0.0,0.0000,76,2026-01-17T20:30:32
550.0,9.680,0.0,0.0000,76,2026-01-17T20:30:32
24916.0,4.840,0.0,0.0000,76,2026-01-17T20:30:32
572.0,3.580,0.0,0.0000,76,2026-01-17T20:30:32
560.0,1.432,0.0,0.0000,76,2026-01-17T20:30:32
24756.0,4.697,0.0,0.0000,76,2026-01-17T20:30:33
566.0,7.217,0.0,0.0000,76,2026-01-17T20:30:33
552.0,9.136,0.0,0.0000,76,2026-01-17T20:30:33
552.0,9.995,0.0,0.0000,76,2026-01-17T20:30:33
550.0,9.508,0.0,0.0000,76,2026-01-17T20:30:33
552.0,8.792,0.0,0.0000,76,2026-01-17T20:30:33
550.0,6.644,0.0,0.0000,76,2026-01-17T20:30:33
550.0,4.095,0.0,0.0000,76,2026-01-17T20:30:33
552.0,1.690,0.0,0.0000,76,2026-01-17T20:30:33
26194.0,9.995,0.0,0.0000,76,2026-01-17T20:30:33
570.0,9.078,0.0,0.0000,76,2026-01-17T20:30:33
556.0,7.045,0.0,0.0000,76,2026-01-17T20:30:33
558.0,4.382,0.0,0.0000,76,2026-01-17T20:30:33
550.0,1.890,0.0,0.0000,76,2026-01-17T20:30:33
25054.0,9.966,0.0,0.0000,76,2026-01-17T20:30:33
570.0,9.365,0.0,0.0000,76,2026-01-17T20:30:33
552.0,8.477,0.0,0.0000,76,2026-01-17T20:30:33
552.0,6.071,0.0,0.0000,76,2026-01-17T20:30:33
552.0,3.351,0.0,0.0000,76,2026-01-17T20:30:33
548.0,1.088,0.0,0.0000,76,2026-01-17T20:30:33
25732.0,5.298,0.0,0.0000,76,2026-01-17T20:30:33
570.0,2.549,0.0,0.0000,76,2026-01-17T20:30:33
554.0,0.515,0.0,0.0000,76,2026-01-17T20:30:33
24754.0,6.415,0.0,0.0000,76,2026-01-17T20:30:33
574.0,3.522,0.0,0.0000,76,2026-01-17T20:30:33
556.0,1.117,0.0,0.0000,76,2026-01-17T20:30:33
26954.0,2.577,0.0,0.0000,76,2026-01-17T20:30:33
558.0,5.527,0.0,0.0000,76,2026-01-17T20:30:33
554.0,8.276,0.0,0.0000,76,2026-01-17T20:30:33
550.0,9.823,0.0,0.0000,76,2026-01-17T20:30:33
25330.0,8.305,0.0,0.0000,76,2026-01-17T20:30:33
566.0,5.470,0.0,0.0000,76,2026-01-17T20:30:33
556.0,3.923,0.0,0.0000,76,2026-01-17T20:30:33
550.0,1.203,0.0,0.0000,76,2026-01-17T20:30:33
24758.0,0.630,0.0,0.0000,76,2026-01-17T20:30:33
568.0,3.036,0.0,0.0000,76,2026-01-17T20:30:33
560.0,6.243,0.0,0.0000,76,2026-01-17T20:30:33
552.0,8.878,0.0,0.0000,76,2026-01-17T20:30:33
550.0,9.680,0.0,0.0000,76,2026-01-17T20:30:33
26586.0,0.802,0.0,0.0000,76,2026-01-17T20:30:33
560.0,3.465,0.0,0.0000,76,2026-01-17T20:30:33
552.0,6.730,0.0,0.0000,76,2026-01-17T20:30:33
552.0,9.250,0.0,0.0000,76,2026-01-17T20:30:33
548.0,9.937,0.0,0.0000,76,2026-01-17T20:30:33
552.0,8.477,0.0,0.0000,76,2026-01-17T20:30:33
