datetime,t_rel_us,A0_V
2026-05-10 20:18:44.903313,313,5.42406
2026-05-10 20:18:44.942000,0,13.99242
2026-05-10 20:18:45.365017,423017,11.61165
2026-05-10 20:18:45.365087,423087,9.54912
2026-05-10 20:18:45.400000,0,31.41014
2026-05-10 20:18:45.400028,28,24.49240
2026-05-10 20:18:45.400069,69,17.37022
2026-05-10 20:18:45.400126,126,11.22493
2026-05-10 20:18:45.400183,183,8.45340
2026-05-10 20:18:45.400802,802,2.84589
2026-05-10 20:18:45.491000,0,9.03349
2026-05-10 20:18:45.864988,373988,13.02964
2026-05-10 20:18:45.865129,374129,5.42406
2026-05-10 20:18:45.900000,0,31.17247
2026-05-10 20:18:45.900028,28,23.45509
2026-05-10 20:18:45.900072,72,17.62200
2026-05-10 20:18:45.900128,128,10.77375
2026-05-10 20:18:45.900184,184,8.45138
2026-05-10 20:18:45.900527,527,5.42406
2026-05-10 20:18:45.957000,0,8.51785
2026-05-10 20:18:46.037541,80541,4.00607
2026-05-10 20:18:46.068000,0,25.40483
2026-05-10 20:18:46.068040,40,17.79522
2026-05-10 20:18:46.068179,179,7.21266
2026-05-10 20:18:46.103000,0,17.23426
2026-05-10 20:18:46.103079,79,8.77567
2026-05-10 20:18:46.103190,190,6.45532
2026-05-10 20:18:46.138000,0,6.45532
2026-05-10 20:18:46.364981,226981,15.34999
2026-05-10 20:18:46.365229,227229,6.64466
2026-05-10 20:18:46.400000,0,30.43225
2026-05-10 20:18:46.400027,27,24.20135
2026-05-10 20:18:46.400071,71,16.89689
2026-05-10 20:18:46.400127,127,10.38702
2026-05-10 20:18:46.400197,197,7.86223
2026-05-10 20:18:46.443000,0,19.47505
2026-05-10 20:18:46.443052,52,13.25221
2026-05-10 20:18:46.443124,124,9.54912
2026-05-10 20:18:46.443412,412,5.42406
2026-05-10 20:18:46.486000,0,14.18981
2026-05-10 20:18:46.486324,324,5.42406
2026-05-10 20:18:46.522000,0,5.90746
2026-05-10 20:18:46.865002,343002,14.28650
2026-05-10 20:18:46.865265,343265,6.97095
2026-05-10 20:18:46.900000,0,30.79682
2026-05-10 20:18:46.900027,27,23.18922
2026-05-10 20:18:46.900070,70,15.99453
2026-05-10 20:18:46.900126,126,11.22493
2026-05-10 20:18:46.900183,183,8.24795
2026-05-10 20:18:46.901597,1597,5.39686
2026-05-10 20:18:46.948000,0,34.12829
2026-05-10 20:18:46.948028,28,27.08064
2026-05-10 20:18:46.948056,56,21.27574
2026-05-10 20:18:46.948113,113,13.67418
2026-05-10 20:18:46.948156,156,10.53204
2026-05-10 20:18:46.948226,226,8.21170
2026-05-10 20:18:47.059000,0,17.70055
2026-05-10 20:18:47.070473,11473,4.84397
2026-05-10 20:18:47.114000,0,33.93896
2026-05-10 20:18:47.114027,27,26.74326
2026-05-10 20:18:47.114071,71,18.68750
2026-05-10 20:18:47.114127,127,12.21389
2026-05-10 20:18:47.114182,182,9.03349
2026-05-10 20:18:47.114279,279,6.97095
2026-05-10 20:18:47.161000,0,26.21051
2026-05-10 20:18:47.161040,40,18.63513
2026-05-10 20:18:47.161138,138,10.22589
2026-05-10 20:18:47.161236,236,6.93067
2026-05-10 20:18:47.209000,0,17.06306
2026-05-10 20:18:47.209598,598,5.42406
2026-05-10 20:18:47.244000,0,24.90330
2026-05-10 20:18:47.244043,43,17.79924
2026-05-10 20:18:47.244197,197,8.51785
2026-05-10 20:18:47.279000,0,31.66292
2026-05-10 20:18:47.279030,30,24.72806
2026-05-10 20:18:47.279073,73,16.89689
2026-05-10 20:18:47.279128,128,11.86947
2026-05-10 20:18:47.279197,197,8.26004
2026-05-10 20:18:47.283337,4337,3.61934
2026-05-10 20:18:47.330000,0,34.50092
2026-05-10 20:18:47.330027,27,26.37164
2026-05-10 20:18:47.330073,73,18.31488
2026-05-10 20:18:47.330102,102,14.70545
2026-05-10 20:18:47.330143,143,11.06379
2026-05-10 20:18:47.330214,214,8.26004
2026-05-10 20:18:47.453000,0,15.73671
2026-05-10 20:18:47.909997,456997,13.22300
2026-05-10 20:18:47.910082,457082,8.46951
2026-05-10 20:18:47.944000,0,25.43101
2026-05-10 20:18:47.944039,39,18.31488
2026-05-10 20:18:47.944194,194,8.32449
2026-05-10 20:18:47.979000,0,31.65486
2026-05-10 20:18:47.979027,27,25.86507
2026-05-10 20:18:47.979071,71,17.79924
2026-05-10 20:18:47.979127,127,11.60359
2026-05-10 20:18:47.979183,183,8.98515
2026-05-10 20:18:47.979501,501,5.16624
2026-05-10 20:18:48.026000,0,19.16487
2026-05-10 20:18:48.026064,64,11.99837
2026-05-10 20:18:48.026109,109,9.54912
2026-05-10 20:18:48.026248,248,6.32641
2026-05-10 20:18:48.069000,0,15.02873
2026-05-10 20:18:48.069229,229,5.42406
