t_rel_ms,A0_V
6,0.23198
8,0.32796
9,0.41185
10,0.54136
10,0.63664
11,0.72828
12,0.82496
13,0.93670
14,1.03056
14,1.16657
15,1.29613
16,1.36814
17,1.45732
18,1.58582
19,1.65526
20,1.75053
21,1.87179
23,1.98921
0,1.97129
0,1.99939
0,2.03237
0,1.99808
0,1.99747
1,1.98519
1,1.98121
0,0.25132
0,0.30933
0,0.32867
0,0.36724
0,0.32222
2,0.44755
3,0.55798
4,0.66705
4,0.75406
5,0.88297
6,0.97295
7,1.06954
8,1.15972
9,1.25660
9,1.38531
10,1.47086
11,1.58618
12,1.67933
13,1.79041
15,1.88045
16,1.97270
0,1.17543
0,1.17684
0,1.18943
0,1.16012
1,1.12729
1,1.04944
2,0.90216
3,0.85719
4,0.72184
5,0.65003
5,0.53492
6,0.41246
7,0.34478
9,0.20620
10,0.10308
12,0.00640
0,0.00640
0,0.03701
0,0.00000
0,0.00116
1,0.07055
4,0.17398
5,0.27615
6,0.36734
7,0.48960
8,0.61468
9,0.70492
10,0.79918
11,0.89667
11,0.99063
12,1.10403
13,1.22458
14,1.28208
15,1.40570
16,1.51573
17,1.62973
18,1.72692
19,1.81292
20,1.90970
22,2.01107
0,0.99566
0,0.99848
1,0.99244
1,1.13374
2,1.20524
3,1.30555
4,1.39402
5,1.51538
6,1.61453
7,1.73145
8,1.82335
9,1.91117
12,2.02089
0,0.68316
0,0.66383
2,0.55697
2,0.41246
4,0.30933
5,0.24488
6,0.13530
8,0.02573
0,0.12564
0,0.11597
0,0.14638
0,0.09985
0,0.05796
1,0.11597
1,0.12564
3,0.00126
29,1.98660
29,2.06253
29,2.06253
29,2.04853
29,2.06535
30,2.02477
30,2.03448
33,1.94495
34,1.83634
35,1.69363
36,1.63321
38,1.53023
38,1.40706
39,1.31743
40,1.21169
41,1.13434
42,1.01797
43,0.87270
43,0.80281
44,0.69605
45,0.61106
46,0.50269
47,0.34639
48,0.30288
49,0.15464
51,0.09019
0,1.76352
0,1.77813
0,1.76015
1,1.76272
1,1.69605
2,1.59348
3,1.46779
4,1.39372
5,1.25650
6,1.17911
6,1.04889
7,0.97849
8,0.87653
9,0.76051
10,0.65738
10,0.53250
11,0.45113
12,0.35767
14,0.26421
15,0.15464
17,0.06440
0,1.30797
0,1.34790
1,1.35550
1,1.44926
2,1.56462
3,1.68024
4,1.77027
6,1.88322
8,1.98680
datetime,t_rel_us,A0_V
2026-05-10 20:06:44.676000,0,0.27710
2026-05-10 20:06:44.997955,321955,1.25036
2026-05-10 20:06:44.997998,321998,0.84430
2026-05-10 20:06:44.998096,322096,0.41246
2026-05-10 20:06:44.998451,322451,0.26743
2026-05-10 20:06:45.041000,0,0.64812
2026-05-10 20:06:45.497972,456972,0.93453
2026-05-10 20:06:45.498113,457113,0.36613
2026-05-10 20:06:45.533000,0,1.89878
2026-05-10 20:06:45.533027,27,1.42021
2026-05-10 20:06:45.533071,71,0.97628
2026-05-10 20:06:45.533126,126,0.63684
2026-05-10 20:06:45.533182,182,0.44468
2026-05-10 20:06:45.533346,346,0.23843
2026-05-10 20:06:45.580000,0,0.95805
2026-05-10 20:06:45.580313,313,0.27992
2026-05-10 20:06:45.618000,0,2.01177
2026-05-10 20:06:45.618027,27,1.55873
2026-05-10 20:06:45.618056,56,1.19744
2026-05-10 20:06:45.618142,142,0.58004
2026-05-10 20:06:45.618198,198,0.39957
2026-05-10 20:06:45.621111,3111,0.18687
2026-05-10 20:06:45.668000,0,2.07346
2026-05-10 20:06:45.668028,28,1.57515
2026-05-10 20:06:45.668057,57,1.16445
2026-05-10 20:06:45.668115,115,0.73473
2026-05-10 20:06:45.668156,156,0.48980
2026-05-10 20:06:45.668227,227,0.36009
2026-05-10 20:06:45.729000,0,0.57883
2026-05-10 20:06:45.738059,9059,0.20620
2026-05-10 20:06:45.768000,0,2.04450
2026-05-10 20:06:45.768028,28,1.58436
2026-05-10 20:06:45.768056,56,1.18107
2026-05-10 20:06:45.768142,142,0.54650
2026-05-10 20:06:45.768198,198,0.38667
2026-05-10 20:06:45.771094,3094,0.26683
2026-05-10 20:06:45.818000,0,2.06354
2026-05-10 20:06:45.818027,27,1.58315
2026-05-10 20:06:45.818055,55,1.20202
2026-05-10 20:06:45.818113,113,0.74278
2026-05-10 20:06:45.818155,155,0.51558
2026-05-10 20:06:45.818225,225,0.35445
2026-05-10 20:06:45.948000,0,1.36925
2026-05-10 20:06:45.948039,39,0.95387
2026-05-10 20:06:45.948138,138,0.43824
2026-05-10 20:06:45.948263,263,0.29322
2026-05-10 20:06:45.991000,0,0.79112
2026-05-10 20:06:45.998022,7022,0.92809
2026-05-10 20:06:45.998176,7176,0.34800
2026-05-10 20:06:46.035000,0,2.07039
2026-05-10 20:06:46.035027,27,1.68527
2026-05-10 20:06:46.035056,56,1.18832
2026-05-10 20:06:46.035140,140,0.74369
2026-05-10 20:06:46.035210,210,0.38667
2026-05-10 20:06:46.035361,361,0.00000
2026-05-10 20:06:46.080000,0,0.90231
2026-05-10 20:06:46.080225,225,0.28355
2026-05-10 20:06:46.111000,0,0.41246
2026-05-10 20:06:46.497961,386961,1.00543
2026-05-10 20:06:46.498213,387213,0.27635
2026-05-10 20:06:46.533000,0,1.83301
2026-05-10 20:06:46.533027,27,1.39533
2026-05-10 20:06:46.533074,74,0.94425
2026-05-10 20:06:46.533129,129,0.58004
2026-05-10 20:06:46.533186,186,0.41246
2026-05-10 20:06:46.533582,582,0.22554
2026-05-10 20:06:46.580000,0,0.82496
2026-05-10 20:06:46.580521,521,0.24971
2026-05-10 20:06:46.667000,0,1.91978
2026-05-10 20:06:46.667028,28,1.46950
2026-05-10 20:06:46.667072,72,0.99899
2026-05-10 20:06:46.667130,130,0.58326
2026-05-10 20:06:46.667186,186,0.28999
2026-05-10 20:06:46.667515,515,0.24890
2026-05-10 20:06:46.744000,0,0.49584
2026-05-10 20:06:46.997997,253997,0.86847
2026-05-10 20:06:46.998167,254167,0.32116
2026-05-10 20:06:47.033000,0,1.83860
2026-05-10 20:06:47.033027,27,1.37282
2026-05-10 20:06:47.033071,71,0.91117
2026-05-10 20:06:47.033127,127,0.59293
2026-05-10 20:06:47.033184,184,0.41246
2026-05-10 20:06:47.033420,420,0.26421
2026-05-10 20:06:47.130000,0,0.74117
2026-05-10 20:06:47.130154,154,0.30933
2026-05-10 20:06:47.160000,0,0.20620
2026-05-10 20:06:47.497958,337958,0.94732
2026-05-10 20:06:47.498264,338264,0.25777
2026-05-10 20:06:47.533000,0,1.75149
2026-05-10 20:06:47.533028,28,1.38712
2026-05-10 20:06:47.533071,71,0.90785
2026-05-10 20:06:47.533126,126,0.59776
2026-05-10 20:06:47.533183,183,0.44730
2026-05-10 20:06:47.533459,459,0.25132
2026-05-10 20:06:47.583000,0,1.76483
2026-05-10 20:06:47.583028,28,1.35349
2026-05-10 20:06:47.583072,72,0.95140
2026-05-10 20:06:47.583100,100,0.76625
2026-05-10 20:06:47.583142,142,0.52525
2026-05-10 20:06:47.583212,212,0.36734
2026-05-10 20:06:47.654000,0,2.02759
2026-05-10 20:06:47.654027,27,1.52736
2026-05-10 20:06:47.654056,56,1.16012
2026-05-10 20:06:47.654125,125,0.67672
2026-05-10 20:06:47.654168,168,0.45455
2026-05-10 20:06:47.654485,485,0.33154
2026-05-10 20:06:47.706000,0,1.61533
2026-05-10 20:06:47.706028,28,1.25892
2026-05-10 20:06:47.706072,72,0.84591
2026-05-10 20:06:47.706100,100,0.65255
2026-05-10 20:06:47.706142,142,0.39634
2026-05-10 20:06:47.706240,240,0.28999
2026-05-10 20:06:47.758000,0,0.96465
2026-05-10 20:06:47.758053,53,0.58004
2026-05-10 20:06:47.758192,192,0.26421
2026-05-10 20:06:47.870000,0,2.06898
2026-05-10 20:06:47.870028,28,1.61407
2026-05-10 20:06:47.870055,55,1.21702
2026-05-10 20:06:47.870139,139,0.57641
2026-05-10 20:06:47.870196,196,0.44710
2026-05-10 20:06:47.871750,1750,0.20620
2026-05-10 20:06:47.929000,0,0.48336
2026-05-10 20:06:47.998027,69027,0.79918
2026-05-10 20:06:47.998208,69208,0.30933
2026-05-10 20:06:48.033000,0,1.69766
2026-05-10 20:06:48.033028,28,1.29533
2026-05-10 20:06:48.033071,71,0.90231
2026-05-10 20:06:48.033141,141,0.53290
2026-05-10 20:06:48.033226,226,0.34156
2026-05-10 20:06:48.076000,0,0.19170
2026-05-10 20:06:48.497997,421997,0.61871
2026-05-10 20:06:48.498096,422096,0.34156
2026-05-10 20:06:48.533000,0,1.61221
2026-05-10 20:06:48.533028,28,1.28188
2026-05-10 20:06:48.533071,71,0.84430
2026-05-10 20:06:48.533141,141,0.50027
2026-05-10 20:06:48.533238,238,0.30933
2026-05-10 20:06:48.621000,0,2.06253
2026-05-10 20:06:48.621028,28,1.60098
2026-05-10 20:06:48.621072,72,0.99194
2026-05-10 20:06:48.621115,115,0.67027
2026-05-10 20:06:48.621157,157,0.44629
2026-05-10 20:06:48.621240,240,0.41246
2026-05-10 20:06:48.709000,0,0.71463
2026-05-10 20:06:48.709300,300,0.20620
2026-05-10 20:06:48.746000,0,0.46080
2026-05-10 20:06:48.997994,251994,0.65738
2026-05-10 20:06:48.998161,252161,0.29644
2026-05-10 20:06:49.033000,0,1.58089
2026-05-10 20:06:49.033028,28,1.23727
2026-05-10 20:06:49.033072,72,0.87582
2026-05-10 20:06:49.033141,141,0.49433
2026-05-10 20:06:49.033239,239,0.33511
2026-05-10 20:06:49.096000,0,0.46402
2026-05-10 20:06:53.631055,4535055,0.08354
2026-05-10 20:06:53.632917,4536917,0.47046
2026-05-10 20:06:53.633163,4537163,0.77823
2026-05-10 20:06:53.633404,4537404,1.00976
2026-05-10 20:06:53.634344,4538344,2.03675
2026-05-10 20:06:53.634386,4538386,2.03725
2026-05-10 20:06:53.635321,4539321,0.00000
2026-05-10 20:06:53.635349,4539349,0.00000
2026-05-10 20:06:53.635377,4539377,0.00000
2026-05-10 20:06:53.785000,0,2.06918
2026-05-10 20:06:53.785028,28,2.07593
2026-05-10 20:06:53.785056,56,2.06253
2026-05-10 20:06:53.785086,86,2.04184
2026-05-10 20:06:53.786011,1011,0.01284
2026-05-10 20:06:53.786039,1039,0.00000
2026-05-10 20:06:53.786068,1068,0.00000
2026-05-10 20:06:53.786096,1096,0.00000
2026-05-10 20:06:53.872000,0,0.00000
2026-05-10 20:06:53.885066,13066,2.04481
2026-05-10 20:06:53.885095,13095,2.06253
2026-05-10 20:06:53.885123,13123,2.03343
2026-05-10 20:06:53.885436,13436,2.06253
2026-05-10 20:06:53.886044,14044,0.00000
2026-05-10 20:06:53.886073,14073,0.00000
2026-05-10 20:06:53.886102,14102,0.02573
2026-05-10 20:06:53.886130,14130,0.00000
2026-05-10 20:06:53.964000,0,0.01848
2026-05-10 20:06:53.985082,21082,2.06253
2026-05-10 20:06:53.985110,21110,2.04158
2026-05-10 20:06:53.985139,21139,2.03781
2026-05-10 20:06:53.986099,22099,0.00000
2026-05-10 20:06:53.986127,22127,0.00000
2026-05-10 20:06:53.986155,22155,0.00000
2026-05-10 20:06:54.050000,0,0.00000
2026-05-10 20:06:54.085102,35102,2.06253
2026-05-10 20:06:54.085130,35130,2.04994
2026-05-10 20:06:54.085159,35159,2.02834
2026-05-10 20:06:54.086099,36099,0.00000
2026-05-10 20:06:54.086127,36127,0.00000
2026-05-10 20:06:54.086155,36155,0.00000
2026-05-10 20:06:54.173000,0,0.00629
2026-05-10 20:06:54.185124,12124,2.04189
2026-05-10 20:06:54.185153,12153,2.03594
2026-05-10 20:06:54.185181,12181,2.03786
2026-05-10 20:06:54.186119,13119,0.00000
2026-05-10 20:06:54.186147,13147,0.00000
2026-05-10 20:06:54.186176,13176,0.00640
2026-05-10 20:06:54.235000,0,0.00000
2026-05-10 20:06:54.235143,143,1.99838
2026-05-10 20:06:54.235171,171,2.04642
2026-05-10 20:06:54.235200,200,2.04179
2026-05-10 20:06:54.235584,584,2.06575
2026-05-10 20:06:54.236138,1138,0.00000
2026-05-10 20:06:54.236166,1166,0.00000
2026-05-10 20:06:54.236195,1195,0.00000
2026-05-10 20:06:54.236223,1223,0.00000
2026-05-10 20:06:54.315000,0,0.01203
2026-05-10 20:06:54.335152,20152,2.03499
2026-05-10 20:06:54.335180,20180,2.04425
2026-05-10 20:06:54.335208,20208,2.00180
2026-05-10 20:06:54.336173,21173,0.06118
2026-05-10 20:06:54.336202,21202,0.00000
2026-05-10 20:06:54.336230,21230,0.00096
2026-05-10 20:06:54.395000,0,0.02543
2026-05-10 20:06:54.435186,40186,2.06943
2026-05-10 20:06:54.435214,40214,2.02814
2026-05-10 20:06:54.435243,40243,1.99163
2026-05-10 20:06:54.435340,40340,2.02597
2026-05-10 20:06:54.436169,41169,0.00000
