Timestamp(ms),Current(uA),D0-D7
50580,890.100,10000000
50581,890.157,10000000
50582,890.271,10000000
50583,890.053,10000000
50584,891.062,10000000
50585,891.134,10000000
50586,889.690,10000000
50587,888.884,10000000
50588,890.275,10000000
50589,889.671,10000000
50590,890.071,10000000
50591,890.392,10000000
50592,890.044,10000000
50593,889.816,10000000
50594,889.617,10000000
50595,889.818,10000000
50596,890.195,10000000
50597,888.872,10000000
50598,888.552,10000000
50599,889.518,10000000
50600,891.319,10000000
50601,890.373,10000000
50602,889.073,10000000
50603,889.451,10000000
50604,889.708,10000000
50605,889.056,10000000
50606,889.653,10000000
50607,889.445,10000000
50608,889.817,10000000
50609,890.619,10000000
50610,890.750,10000000
50611,890.455,10000000
50612,890.871,10000000
50613,889.986,10000000
50614,874.136,10000000
50615,866.585,10000000
50616,883.159,10000000
50617,887.419,10000000
50618,887.997,10000000
50619,890.639,10000000
50620,889.878,10000000
50621,890.179,10000000
50622,889.637,10000000
50623,889.664,10000000
50624,890.498,10000000
50625,890.536,10000000
50626,890.613,10000000
50627,891.123,10000000
50628,891.062,10000000
50629,890.752,10000000
50630,890.596,10000000
50631,891.570,10000000
50632,890.177,10000000
50633,891.134,10000000
50634,890.778,10000000
50635,890.840,10000000
50636,891.630,10000000
50637,891.058,10000000
50638,890.356,10000000
50639,888.919,10000000
50640,890.485,10000000
50641,889.528,10000000
50642,890.197,10000000
50643,890.926,10000000
50644,890.811,10000000
50645,890.323,10000000
50646,890.536,10000000
50647,890.587,10000000
50648,890.482,10000000
50649,889.071,10000000
50650,889.375,10000000
50651,890.113,10000000
50652,890.203,10000000
50653,889.567,10000000
50654,889.229,10000000
50655,889.705,10000000
50656,889.602,10000000
50657,890.500,10000000
50658,890.260,10000000
50659,888.193,10000000
50660,890.057,10000000
50661,891.021,10000000
50662,889.482,10000000
50663,888.972,10000000
50664,888.892,10000000
50665,889.683,10000000
50666,888.990,10000000
50667,890.046,10000000
50668,872.967,10000000
50669,866.949,10000000
50670,882.149,10000000
50671,886.914,10000000
50672,887.100,10000000
50673,889.643,10000000
50674,889.787,10000000
50675,890.927,10000000
50676,892.064,10000000
50677,892.220,10000000
50678,890.805,10000000
50679,890.948,10000000
50680,891.466,10000000
50681,891.300,10000000
50682,890.237,10000000
50683,890.101,10000000
50684,890.232,10000000
50685,890.524,10000000
50686,891.262,10000000
50687,891.312,10000000
50688,891.594,10000000
50689,890.544,10000000
50690,891.028,10000000
50691,890.206,10000000
50692,890.117,10000000
50693,890.944,10000000
50694,890.009,10000000
50695,889.747,10000000
50696,889.416,10000000
50697,890.120,10000000
50698,890.379,10000000
50699,891.710,10000000
50700,890.603,10000000
50701,890.432,10000000
50702,891.000,10000000
50703,890.563,10000000
50704,890.974,10000000
50705,891.339,10000000
50706,890.725,10000000
50707,890.905,10000000
50708,890.774,10000000
50709,889.716,10000000
50710,889.535,10000000
50711,890.521,10000000
50712,892.063,10000000
50713,891.364,10000000
50714,889.713,10000000
50715,889.516,10000000
50716,889.137,10000000
50717,890.705,10000000
50718,890.621,10000000
50719,889.433,10000000
50720,889.232,10000000
50721,889.677,10000000
50722,872.287,10000000
50723,869.804,10000000
50724,884.003,10000000
50725,886.391,10000000
50726,887.458,10000000
50727,889.673,10000000
50728,889.960,10000000
50729,889.997,10000000
50730,888.849,10000000
50731,889.447,10000000
50732,888.085,10000000
50733,887.691,10000000
50734,887.928,10000000
50735,888.745,10000000
50736,889.316,10000000
50737,889.317,10000000
50738,889.470,10000000
50739,888.616,10000000
50740,888.727,10000000
50741,888.978,10000000
50742,888.694,10000000
50743,889.951,10000000
50744,888.214,10000000
50745,887.979,10000000
50746,889.292,10000000
50747,888.839,10000000
50748,889.976,10000000
50749,891.152,10000000
50750,892.555,10000000
50751,893.012,10000000
50752,891.945,10000000
50753,890.431,10000000
50754,890.700,10000000
50755,889.739,10000000
50756,890.333,10000000
50757,888.824,10000000
50758,889.042,10000000
50759,890.250,10000000
50760,890.325,10000000
50761,889.667,10000000
50762,890.307,10000000
50763,889.458,10000000
50764,890.025,10000000
50765,889.270,10000000
50766,887.961,10000000
50767,889.709,10000000
50768,889.198,10000000
50769,890.267,10000000
50770,890.119,10000000
50771,889.401,10000000
50772,889.653,10000000
50773,890.672,10000000
50774,892.067,10000000
50775,890.536,10000000
50776,871.620,10000000
50777,871.063,10000000
50778,884.102,10000000
50779,887.286,10000000
50780,888.361,10000000
50781,889.063,10000000
50782,891.397,10000000
50783,890.259,10000000
50784,891.213,10000000
50785,891.039,10000000
50786,890.622,10000000
50787,890.238,10000000
50788,890.208,10000000
50789,890.505,10000000
50790,891.026,10000000
50791,891.434,10000000
50792,890.470,10000000
50793,890.005,10000000
50794,890.770,10000000
50795,890.812,10000000
50796,891.022,10000000
50797,890.864,10000000
50798,889.685,10000000
50799,889.879,10000000
50800,890.554,10000000
50801,890.750,10000000
50802,888.913,10000000
50803,888.905,10000000
50804,889.751,10000000
50805,888.978,10000000
50806,889.521,10000000
50807,889.999,10000000
50808,888.625,10000000
50809,889.357,10000000
50810,889.324,10000000
50811,889.225,10000000
50812,890.399,10000000
50813,890.527,10000000
50814,890.408,10000000
50815,889.927,10000000
50816,890.732,10000000
50817,889.344,10000000
50818,890.587,10000000
50819,890.991,10000000
50820,891.443,10000000
50821,890.748,10000000
50822,890.479,10000000
50823,890.378,10000000
50824,891.122,10000000
50825,889.896,10000000
50826,888.560,10000000
50827,888.670,10000000
50828,888.150,10000000
50829,887.526,10000000
50830,870.691,10000000
50831,873.299,10000000
50832,884.291,10000000
50833,885.731,10000000
50834,882.194,10000000
50835,888.382,10000000
50836,890.534,10000000
50837,889.802,10000000
50838,890.090,10000000
50839,889.950,10000000
50840,889.449,10000000
50841,890.339,10000000
50842,891.423,10000000
50843,891.874,10000000
50844,891.609,10000000
50845,890.668,10000000
50846,890.571,10000000
50847,891.257,10000000
50848,890.151,10000000
50849,890.284,10000000
50850,890.150,10000000
50851,891.082,10000000
50852,891.112,10000000
50853,890.585,10000000
50854,891.318,10000000
50855,891.734,10000000
50856,892.532,10000000
50857,891.148,10000000
50858,890.803,10000000
50859,891.471,10000000
50860,890.890,10000000
50861,890.109,10000000
50862,891.647,10000000
50863,890.882,10000000
50864,890.709,10000000
50865,891.249,10000000
50866,891.017,10000000
50867,890.982,10000000
50868,889.723,10000000
50869,889.586,10000000
50870,889.211,10000000
50871,890.355,10000000
50872,889.835,10000000
50873,888.821,10000000
50874,889.638,10000000
50875,889.625,10000000
50876,890.259,10000000
50877,890.386,10000000
50878,890.080,10000000
50879,889.114,10000000
50880,888.821,10000000
50881,890.187,10000000
50882,889.539,10000000
50883,885.173,10000000
50884,870.257,10000000
50885,874.362,10000000
50886,885.209,10000000
50887,888.027,10000000
50888,889.416,10000000
50889,889.380,10000000
50890,889.530,10000000
50891,889.598,10000000
50892,890.604,10000000
50893,889.725,10000000
50894,889.693,10000000
50895,889.795,10000000
50896,889.380,10000000
50897,889.773,10000000
50898,890.874,10000000
50899,889.347,10000000
50900,889.328,10000000
50901,890.176,10000000
50902,890.300,10000000
50903,889.245,10000000
50904,889.273,10000000
50905,890.237,10000000
50906,890.135,10000000
50907,891.324,10000000
50908,890.596,10000000
50909,890.385,10000000
50910,890.046,10000000
50911,890.531,10000000
50912,890.903,10000000
50913,891.145,10000000
50914,891.925,10000000
50915,892.754,10000000
50916,892.105,10000000
50917,891.551,10000000
50918,890.730,10000000
50919,890.406,10000000
50920,890.086,10000000
50921,890.023,10000000
50922,890.248,10000000
50923,890.591,10000000
50924,891.059,10000000
50925,891.225,10000000
50926,890.193,10000000
50927,891.424,10000000
50928,891.718,10000000
50929,890.669,10000000
50930,890.032,10000000
50931,890.195,10000000
50932,890.135,10000000
50933,889.239,10000000
50934,890.173,10000000
50935,889.752,10000000
50936,890.102,10000000
50937,884.609,10000000
50938,871.535,10000000
50939,876.976,10000000
50940,887.374,10000000
50941,889.201,10000000
50942,890.229,10000000
50943,889.916,10000000
50944,889.394,10000000
50945,888.793,10000000
50946,887.493,10000000
50947,887.984,10000000
50948,886.439,10000000
50949,886.690,10000000
50950,887.464,10000000
50951,887.970,10000000
50952,887.769,10000000
50953,888.233,10000000
50954,887.544,10000000
50955,888.139,10000000
50956,887.535,10000000
50957,886.670,10000000
50958,887.397,10000000
50959,887.202,10000000
50960,886.174,10000000
50961,886.904,10000000
50962,887.976,10000000
50963,890.279,10000000
50964,889.055,10000000
50965,889.208,10000000
50966,887.596,10000000
50967,886.713,10000000
50968,886.955,10000000
50969,887.406,10000000
50970,886.519,10000000
50971,885.823,10000000
50972,886.134,10000000
50973,885.769,10000000
50974,885.496,10000000
50975,886.606,10000000
50976,888.416,10000000
50977,887.864,10000000
50978,887.866,10000000
50979,888.423,10000000
50980,886.325,10000000
50981,886.032,10000000
50982,885.171,10000000
50983,884.880,10000000
50984,883.600,10000000
50985,883.002,10000000
50986,883.233,10000000
50987,885.738,10000000
50988,887.815,10000000
50989,887.731,10000000
50990,887.228,10000000
50991,878.775,10000000
50992,866.687,10000000
50993,873.436,10000000
50994,881.925,10000000
50995,883.393,10000000
50996,885.492,10000000
50997,886.016,10000000
50998,885.466,10000000
50999,886.340,10000000
51000,887.809,10000000
51001,886.662,10000000
51002,887.419,10000000
51003,888.010,10000000
51004,887.481,10000000
51005,887.163,10000000
51006,885.961,10000000
51007,885.906,10000000
51008,887.296,10000000
51009,887.051,10000000
51010,887.176,10000000
51011,886.357,10000000
51012,888.832,10000000
51013,888.677,10000000
51014,889.457,10000000
51015,888.740,10000000
51016,886.613,10000000
51017,887.581,10000000
51018,887.332,10000000
51019,888.048,10000000
51020,887.323,10000000
51021,886.581,10000000
51022,885.659,10000000
51023,887.001,10000000
51024,887.824,10000000
51025,888.335,10000000
51026,887.492,10000000
51027,887.829,10000000
51028,887.409,10000000
51029,886.773,10000000
51030,886.027,10000000
51031,886.589,10000000
51032,885.791,10000000
51033,884.932,10000000
51034,884.256,10000000
51035,885.735,10000000
51036,885.545,10000000
51037,886.663,10000000
51038,887.505,10000000
51039,888.587,10000000
51040,887.749,10000000
51041,888.244,10000000
51042,887.782,10000000
51043,886.807,10000000
51044,886.350,10000000
51045,878.547,10000000
51046,865.752,10000000
51047,872.208,10000000
51048,881.319,10000000
51049,884.754,10000000
51050,887.551,10000000
51051,887.133,10000000
51052,888.171,10000000
51053,887.652,10000000
51054,887.317,10000000
51055,887.605,10000000
51056,887.220,10000000
51057,886.247,10000000
51058,885.768,10000000
51059,885.801,10000000
51060,886.075,10000000
51061,886.600,10000000
51062,888.503,10000000
51063,887.559,10000000
51064,887.306,10000000
51065,887.484,10000000
51066,888.293,10000000
51067,887.585,10000000
51068,887.833,10000000
51069,887.893,10000000
51070,887.563,10000000
51071,888.316,10000000
51072,887.656,10000000
51073,888.354,10000000
51074,890.597,10000000
51075,890.375,10000000
51076,891.193,10000000
51077,889.834,10000000
51078,890.561,10000000
51079,890.175,10000000
51080,890.195,10000000
51081,889.031,10000000
51082,889.140,10000000
51083,887.538,10000000
51084,888.682,10000000
51085,887.297,10000000
51086,888.752,10000000
51087,890.366,10000000
51088,889.571,10000000
51089,890.218,10000000
51090,889.234,10000000
51091,889.319,10000000
51092,888.995,10000000
51093,890.153,10000000
51094,889.273,10000000
51095,888.723,10000000
51096,888.931,10000000
51097,887.154,10000000
51098,887.795,10000000
51099,878.600,10000000
51100,868.448,10000000
51101,878.817,10000000
51102,887.398,10000000
51103,879.210,10000000
51104,885.128,10000000
51105,889.014,10000000
51106,890.960,10000000
51107,892.599,10000000
51108,892.791,10000000
51109,892.619,10000000
51110,892.926,10000000
51111,893.512,10000000
51112,893.220,10000000
51113,893.389,10000000
51114,891.559,10000000
51115,891.296,10000000
51116,891.919,10000000
51117,890.992,10000000
51118,890.268,10000000
51119,890.004,10000000
51120,889.692,10000000
51121,890.896,10000000
51122,890.569,10000000
51123,891.358,10000000
51124,889.761,10000000
51125,890.320,10000000
51126,889.707,10000000
51127,890.229,10000000
51128,890.490,10000000
51129,889.877,10000000
51130,889.559,10000000
51131,889.869,10000000
51132,890.796,10000000
51133,890.752,10000000
51134,889.871,10000000
51135,891.040,10000000
51136,891.605,10000000
51137,890.522,10000000
51138,890.443,10000000
51139,890.963,10000000
51140,890.513,10000000
51141,891.054,10000000
51142,890.319,10000000
51143,891.849,10000000
51144,891.308,10000000
51145,891.126,10000000
51146,891.522,10000000
51147,891.456,10000000
51148,890.222,10000000
51149,890.247,10000000
51150,890.489,10000000
51151,890.320,10000000
51152,890.147,10000000
51153,879.683,10000000
51154,867.731,10000000
51155,879.327,10000000
51156,886.849,10000000
51157,890.678,10000000
51158,891.777,10000000
51159,890.966,10000000
51160,890.553,10000000
51161,891.455,10000000
51162,891.667,10000000
51163,891.334,10000000
51164,891.738,10000000
51165,891.952,10000000
51166,893.407,10000000
51167,892.737,10000000
51168,891.927,10000000
51169,892.909,10000000
51170,891.974,10000000
51171,891.169,10000000
51172,891.195,10000000
51173,890.582,10000000
51174,891.117,10000000
51175,890.310,10000000
51176,890.951,10000000
51177,889.662,10000000
51178,891.602,10000000
51179,891.728,10000000
51180,892.881,10000000
51181,893.281,10000000
51182,892.549,10000000
51183,892.920,10000000
51184,892.093,10000000
51185,892.623,10000000
