Timestamp(ms),Current(uA),D0-D7
5732,907.111,10000000
5733,907.386,10000000
5734,906.922,10000000
5735,906.558,10000000
5736,907.408,10000000
5737,907.289,10000000
5738,907.629,10000000
5739,907.142,10000000
5740,905.420,10000000
5741,906.299,10000000
5742,906.628,10000000
5743,907.976,10000000
5744,907.527,10000000
5745,907.287,10000000
5746,905.035,10000000
5747,905.825,10000000
5748,906.177,10000000
5749,906.896,10000000
5750,907.260,10000000
5751,906.096,10000000
5752,906.559,10000000
5753,905.888,10000000
5754,905.191,10000000
5755,905.832,10000000
5756,906.435,10000000
5757,905.341,10000000
5758,905.091,10000000
5759,905.399,10000000
5760,905.585,10000000
5761,906.373,10000000
5762,907.140,10000000
5763,907.223,10000000
5764,905.767,10000000
5765,907.175,10000000
5766,906.806,10000000
5767,905.854,10000000
5768,905.873,10000000
5769,906.400,10000000
5770,907.551,10000000
5771,906.517,10000000
5772,907.121,10000000
5773,907.164,10000000
5774,906.600,10000000
5775,907.244,10000000
5776,906.148,10000000
5777,904.862,10000000
5778,905.148,10000000
5779,905.788,10000000
5780,906.070,10000000
5781,906.828,10000000
5782,906.324,10000000
5783,904.946,10000000
5784,904.938,10000000
5785,905.865,10000000
5786,905.859,10000000
5787,906.039,10000000
5788,905.845,10000000
5789,905.406,10000000
5790,904.836,10000000
5791,903.737,10000000
5792,903.736,10000000
5793,903.720,10000000
5794,904.858,10000000
5795,905.729,10000000
5796,904.381,10000000
5797,904.694,10000000
5798,905.322,10000000
5799,905.826,10000000
5800,905.955,10000000
5801,905.774,10000000
5802,904.731,10000000
5803,904.866,10000000
5804,905.831,10000000
5805,906.365,10000000
5806,906.268,10000000
5807,905.590,10000000
5808,904.396,10000000
5809,904.278,10000000
5810,905.417,10000000
5811,904.896,10000000
5812,903.915,10000000
5813,904.482,10000000
5814,904.813,10000000
5815,904.193,10000000
5816,906.227,10000000
5817,904.837,10000000
5818,905.047,10000000
5819,905.160,10000000
5820,906.261,10000000
5821,905.495,10000000
5822,906.251,10000000
5823,904.926,10000000
5824,905.113,10000000
5825,904.733,10000000
5826,904.563,10000000
5827,904.114,10000000
5828,904.127,10000000
