a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
1.0275,0.5414,0.4549,0.1430,0.2204,0.0504,0.2744,0.0651,0.6240,0.2574
1.0361,0.5433,0.4565,0.1462,0.2240,0.0659,0.2753,0.0661,0.6261,0.2421
1.0376,0.5241,0.4566,0.1178,0.2320,0.0669,0.2755,0.0715,0.6271,0.2574
1.0414,0.5422,0.4568,0.1468,0.2330,0.0661,0.2815,0.0510,0.6310,0.2467
1.0499,0.5352,0.4569,0.1305,0.2334,0.0725,0.2822,0.0701,0.6319,0.2449
1.0524,0.5507,0.4596,0.1366,0.2361,0.0516,0.2846,0.0737,0.6352,0.2663
1.0628,0.5489,0.4613,0.1454,0.2408,0.0673,0.2870,0.0699,0.6376,0.2516
1.0679,0.5559,0.4639,0.1388,0.2412,0.0685,0.2872,0.0500,0.6393,0.2671
1.0708,0.5620,0.4645,0.1464,0.2425,0.0687,0.2901,0.0524,0.6394,0.2540
1.0805,0.5433,0.4647,0.1297,0.2434,0.0669,0.2901,0.0713,0.6394,0.2665
1.0878,0.5505,0.4649,0.1321,0.2444,0.0502,0.2919,0.0691,0.6452,0.2739
1.0901,0.5610,0.4650,0.1335,0.2497,0.0524,0.2932,0.0538,0.6458,0.2574
1.0975,0.5682,0.4660,0.1545,0.2536,0.0508,0.2943,0.0683,0.6535,0.2784
1.1076,0.5640,0.4660,0.1557,0.2562,0.0669,0.3004,0.0518,0.6538,0.2733
