a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.4978,0.1817,0.2083,0.0691,0.0000,0.0532,0.0016,0.0457,0.3567,0.0699
0.5007,0.2012,0.2125,0.0695,0.0000,0.0532,0.0016,0.0483,0.3583,0.0586
0.5015,0.1825,0.2160,0.0713,0.0000,0.0534,0.0016,0.0485,0.3591,0.0697
0.5015,0.2109,0.2190,0.0576,0.0000,0.0534,0.0016,0.0489,0.3600,0.0904
0.5058,0.1885,0.2237,0.0544,0.0000,0.0534,0.0016,0.0498,0.3653,0.0711
0.5060,0.2016,0.2282,0.0550,0.0000,0.0534,0.0020,0.0316,0.3656,0.0852
0.5068,0.2022,0.2286,0.0717,0.0000,0.0540,0.0021,0.0520,0.3672,0.0649
0.5134,0.2147,0.2387,0.0711,0.0000,0.0542,0.0031,0.0498,0.3685,0.0898
0.5175,0.2208,0.2410,0.0735,0.0000,0.0542,0.0032,0.0314,0.3691,0.0900
0.5183,0.2242,0.2418,0.0717,0.0000,0.0556,0.0032,0.0469,0.3762,0.0943
0.5184,0.2292,0.2512,0.0755,0.0000,0.0558,0.0032,0.0489,0.3794,0.0767
0.5252,0.2065,0.2519,0.0590,0.0000,0.0558,0.0032,0.0530,0.3796,0.0769
0.5309,0.2196,0.2535,0.0749,0.0000,0.0562,0.0032,0.0532,0.3824,0.0981
0.5327,0.2455,0.2595,0.0574,0.0000,0.0562,0.0032,0.0540,0.3838,0.0753
0.5424,0.2528,0.2600,0.0794,0.0000,0.0562,0.0032,0.0588,0.3875,0.0943
0.5454,0.2578,0.2642,0.0769,0.0000,0.0584,0.0034,0.0560,0.3898,0.0983
0.5457,0.2318,0.2652,0.0757,0.0001,0.0316,0.0034,0.0564,0.3905,0.0987
0.5457,0.2433,0.2683,0.0592,0.0001,0.0532,0.0035,0.0485,0.3993,0.1005
0.5478,0.2655,0.2684,0.0757,0.0001,0.0560,0.0035,0.0508,0.4016,0.0866
0.5482,0.2520,0.2685,0.0788,0.0002,0.0296,0.0035,0.0534,0.4052,0.1031
0.5603,0.2594,0.2693,0.0800,0.0002,0.0530,0.0040,0.0324,0.4055,0.0904
0.5610,0.2747,0.2711,0.0753,0.0003,0.0342,0.0040,0.0469,0.4076,0.0852
0.5689,0.2862,0.2762,0.0832,0.0006,0.0429,0.0042,0.0498,0.4112,0.0866
0.5699,0.2917,0.2763,0.0737,0.0008,0.0336,0.0044,0.0346,0.4115,0.0854
0.5803,0.2731,0.2792,0.0778,0.0008,0.0508,0.0047,0.0502,0.4151,0.0854
0.5832,0.2905,0.2804,0.0612,0.0009,0.0498,0.0052,0.0453,0.4164,0.0846
