# threshold_resistor_ohms,330000
a5_V,post_toggle_abs_diff_V
1.1202,0.4937
1.1204,0.4697
1.1207,0.4723
1.1235,0.4758
1.1239,0.4810
1.1257,0.4730
1.1278,0.4913
1.1299,0.4889
1.1315,0.4842
1.1318,0.4798
1.1395,0.4790
1.1405,0.4899
1.1447,0.4806
1.1447,0.4911
1.1448,0.4810
1.1476,0.4961
1.1485,0.4826
1.1491,0.4790
1.1507,0.4963
1.1524,0.4967
1.1548,0.4945
1.1594,0.4969
1.1607,0.4925
1.1643,0.4768
1.1646,0.4969
1.1682,0.4842
1.1688,0.5036
1.1693,0.4895
1.1698,0.4983
1.1700,0.4883
1.1715,0.4995
1.1715,0.5016
1.1721,0.4822
1.1724,0.4887
1.1725,0.4987
1.1740,0.5026
1.1802,0.5042
1.1810,0.4987
1.1847,0.4860
1.1849,0.4788
1.1859,0.5024
1.1925,0.4905
1.1935,0.5022
1.1940,0.4875
1.1956,0.4947
1.1977,0.5034
1.2016,0.5048
1.2030,0.5044
1.2068,0.5005
1.2094,0.5096
1.2117,0.4919
1.2143,0.5100
1.2145,0.4919
1.2175,0.4915
1.2185,0.4983
1.2203,0.5068
1.2240,0.5060
1.2258,0.4959
1.2302,0.4955
1.2304,0.4943
1.2313,0.4953
1.2323,0.5151
1.2329,0.5118
1.2331,0.4989
1.2331,0.5122
1.2351,0.4965
1.2366,0.5014
1.2380,0.5140
1.2424,0.5018
1.2442,0.5032
1.2445,0.5132
1.2502,0.5062
1.2526,0.5140
1.2528,0.5036
1.2544,0.5142
1.2576,0.5209
1.2630,0.5219
1.2632,0.5128
1.2637,0.5195
1.2650,0.5195
1.2691,0.5211
1.2701,0.5048
1.2730,0.5193
1.2751,0.5213
1.2756,0.5028
1.2767,0.4967
1.2782,0.4969
1.2786,0.5197
1.2829,0.5193
1.2852,0.5237
1.2875,0.5086
1.2909,0.5243
1.2921,0.5096
1.3005,0.5116
1.3023,0.5316
1.3042,0.5088
1.3054,0.5283
1.3063,0.5308
1.3066,0.5225
1.3103,0.5104
1.3135,0.5098
1.3137,0.5273
1.3150,0.5283
1.3182,0.5324
1.3205,0.5165
1.3212,0.5316
1.3222,0.5104
1.3240,0.5308
1.3272,0.5300
1.3285,0.5324
1.3292,0.5142
1.3363,0.5338
1.3367,0.5294
1.3401,0.5308
1.3424,0.5144
1.3438,0.5169
1.3442,0.5082
1.3462,0.5304
1.3480,0.5350
1.3484,0.5348
1.3536,0.5356
1.3566,0.5348
1.3597,0.5207
1.3634,0.5338
1.3639,0.5336
1.3650,0.5330
1.3674,0.5237
1.3675,0.5370
1.3679,0.5330
1.3710,0.5241
1.3759,0.5199
1.3778,0.5221
1.3794,0.5261
1.3804,0.5203
1.3812,0.5356
1.3817,0.5269
1.3840,0.5404
1.3892,0.5290
1.3913,0.5277
1.3924,0.5223
1.3939,0.5428
1.3950,0.5211
1.3960,0.5283
1.3983,0.5249
1.4030,0.5406
1.4034,0.5277
1.4048,0.5392
1.4083,0.5370
1.4088,0.5296
1.4113,0.5404
1.4124,0.5269
1.4145,0.5433
1.4172,0.5296
1.4192,0.5473
1.4208,0.5426
1.4245,0.5455
1.4254,0.5461
1.4283,0.5467
1.4309,0.5428
1.4319,0.5306
1.4320,0.5455
1.4350,0.5304
1.4386,0.5501
1.4401,0.5439
1.4404,0.5275
1.4484,0.5302
1.4485,0.5509
1.4495,0.5481
1.4516,0.5287
1.4530,0.5378
1.4530,0.5521
1.4566,0.5340
1.4586,0.5503
1.4595,0.5352
1.4597,0.5475
1.4629,0.5479
1.4631,0.5499
1.4632,0.5306
1.4632,0.5511
1.4633,0.5354
1.4637,0.5507
1.4639,0.5469
1.4641,0.5517
1.4643,0.5306
1.4643,0.5513
1.4644,0.5471
1.4644,0.5479
1.4647,0.5340
1.4647,0.5368
1.4648,0.5487
1.4648,0.5487
1.4648,0.5489
1.4650,0.5521
1.4651,0.5493
1.4652,0.5370
1.4653,0.5277
1.4653,0.5489
1.4653,0.5565
1.4654,0.5358
1.4655,0.5527
1.4656,0.5354
1.4656,0.5493
1.4656,0.5521
1.4657,0.5326
1.4658,0.5487
1.4659,0.5241
1.4659,0.5354
1.4659,0.5368
1.4660,0.5406
1.4660,0.5473
1.4660,0.5529
1.4662,0.5326
1.4662,0.5487
1.4663,0.5342
1.4663,0.5410
1.4663,0.5487
1.4663,0.5523
1.4665,0.5330
1.4666,0.5408
1.4668,0.5304
1.4669,0.5346
1.4669,0.5489
1.4670,0.5400
1.4670,0.5410
1.4671,0.5388
1.4674,0.5344
1.4674,0.5499
1.4674,0.5509
1.4675,0.5557
1.4676,0.5489
1.4676,0.5547
1.4678,0.5386
1.4678,0.5388
1.4678,0.5390
1.4678,0.5569
1.4679,0.5382
1.4679,0.5443
1.4680,0.5350
1.4681,0.5358
1.4682,0.5374
1.4683,0.5497
1.4684,0.5467
1.4684,0.5553
1.4685,0.5398
1.4686,0.5382
1.4687,0.5382
1.4687,0.5503
1.4691,0.5382
1.4691,0.5541
1.4692,0.5539
1.4693,0.5346
1.4693,0.5384
1.4694,0.5388
1.4697,0.5322
1.4700,0.5535
1.4701,0.5596
1.4703,0.5501
1.4704,0.5368
1.4704,0.5412
1.4710,0.5370
1.4711,0.5372
1.4736,0.5495
1.4748,0.5557
1.4764,0.5412
1.4768,0.5400
1.4776,0.5382
1.4787,0.5519
1.4789,0.5376
1.4810,0.5414
1.4811,0.5392
1.4845,0.5414
1.4856,0.5513
1.4873,0.5392
1.4895,0.5511
1.4914,0.5527
1.4922,0.5557
1.4932,0.5461
1.4936,0.5561
1.4944,0.5547
1.4946,0.5287
1.4971,0.5567
1.4987,0.5449
1.4988,0.5418
1.4993,0.5549
1.5014,0.5551
1.5023,0.5584
1.5024,0.5342
1.5036,0.5582
1.5037,0.5606
1.5067,0.5541
1.5113,0.5410
1.5121,0.5447
1.5140,0.5400
1.5173,0.5467
1.5183,0.5549
1.5188,0.5439
1.5251,0.5368
1.5261,0.5572
1.5272,0.5509
1.5281,0.5493
1.5290,0.5596
1.5294,0.5588
1.5295,0.5467
1.5325,0.5578
1.5330,0.5654
1.5380,0.5489
1.5394,0.5437
1.5409,0.5612
1.5430,0.5588
1.5447,0.5580
1.5458,0.5620
1.5502,0.5569
1.5509,0.5473
1.5510,0.5499
1.5541,0.5648
1.5584,0.5493
1.5607,0.5668
1.5615,0.5670
1.5621,0.5654
1.5636,0.5616
1.5652,0.5531
1.5659,0.5394
1.5668,0.5428
1.5683,0.5511
1.5685,0.5515
1.5686,0.5491
1.5692,0.5529
1.5694,0.5646
1.5704,0.5632
1.5726,0.5537
1.5744,0.5660
1.5754,0.5620
1.5771,0.5543
1.5791,0.5410
1.5800,0.5529
1.5802,0.5384
1.5818,0.5636
1.5830,0.5519
1.5833,0.5670
1.5854,0.5559
1.5860,0.5662
1.5882,0.5497
1.5883,0.5529
1.5887,0.5658
1.5897,0.5445
